Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
https://uat-dealer.cudl.com,117,81,59,145,157,208,24,250,0.000%,.39019,0.44,0.13
/Home/Login,117,56,40,114,168,228,22,421,0.000%,.39022,0.14,0.32
/v2/,117,54,40,87,123,317,22,434,0.000%,.39013,0.78,0.32
/v2/assets/config.json,117,58,40,115,155,301,21,394,0.000%,.39004,0.32,0.31
/V2/assets/dictionary/dictionary.json,116,61,40,112,138,396,23,540,0.000%,.39190,2.95,0.32
/v2/cudirect.97d2dadbd9d377a1a23e.woff2,116,69,42,101,172,591,25,689,0.000%,.39177,9.07,0.34
/cuid/api/token/provider,116,548,432,814,1635,1873,284,2313,0.000%,.39116,0.31,0.23
/cuid/api/token,116,2079,1640,3788,4181,5061,1161,7374,0.000%,.38921,0.66,0.24
/Home/LoginWidget,116,1136,993,1649,1906,2193,674,2310,0.000%,.39054,1.12,0.74
/CUDL,115,200,153,368,576,809,47,846,0.000%,.40379,17.27,1.37
/CUDL/styles/lending,115,210,168,312,414,1079,46,1531,0.000%,.40333,20.85,1.35
/css,115,396,382,459,537,1105,279,1449,0.000%,.40297,0.66,0.14
/CUDL/scripts/Libraries,115,602,503,975,1458,1987,100,5548,0.000%,.40152,112.54,1.33
/CUDL/scripts/CUDLApp,115,414,330,710,897,2158,71,2194,0.000%,.40080,74.75,1.33
/CUDL/CudlWebConfig/GetCudlWebConfig,115,375,288,682,812,1235,193,1370,0.000%,.39903,1.23,1.31
/CUDL/App/Content/LoggerConfig/InsightLoggerConfiguration.txt,115,132,86,197,259,383,26,3144,0.000%,.39913,0.19,1.55
/CUDL/App/Content/LoggerConfig/ConsoleLoggerConfiguration.txt,115,97,81,163,208,367,28,582,0.000%,.39889,0.19,1.55
/DealerPortal/Lending/v1/rpc/Applications/CleanApps,115,203,164,237,253,545,75,3259,0.000%,.39857,0.38,0.83
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDealQueueFirebaseToken,115,59,50,82,118,170,26,529,0.000%,.39863,0.39,0.89
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDigitalDealQueueFirebaseToken,115,57,44,92,114,197,23,306,0.000%,.39852,0.32,0.96
/CUDL/{SiteVersion}/App/Common/Views/siteHeader.html,115,114,92,221,239,427,28,546,0.000%,.39825,0.67,1.55
/CUDL/{SiteVersion}/App/Home/Views/HomeComponent.html,115,94,89,144,197,225,26,330,0.000%,.39811,0.38,1.54
/DealerPortal/DealerPortalAPI/v1/User,230,79,58,125,143,482,29,843,0.000%,.79558,0.98,1.82
/CUDL/{SiteVersion}/App/Common/Views/SiteFooter.html,115,107,86,188,243,390,23,401,0.000%,.39937,0.29,1.55
/CUDL/{SiteVersion}/App/Common/Views/Overlay.html,115,107,82,171,234,546,27,571,0.000%,.39923,0.23,1.55
/DealerPortal/Lending/v1/SellerFilters/,115,368,204,732,1119,1797,82,3349,0.000%,.39885,68.99,0.87
/DealerPortal/Lending/v1/rpc/SmartFund/GetSmartFundLendersByDealer,115,74,52,119,218,301,27,562,0.000%,.39888,0.35,0.89
/CUDL/{SiteVersion}/App/Common/Views/userInfo.html,115,180,118,216,241,3297,27,3305,0.000%,.39871,0.54,1.55
/CUDL/{SiteVersion}/App/Common/Views/dealersDropdown.html,115,95,84,169,216,254,27,256,0.000%,.39855,0.39,1.55
/CUDL/{SiteVersion}/App/DMS/Views/DmsSearch.html,115,124,89,168,201,280,27,3252,0.000%,.39832,0.68,1.54
/CUDL/{SiteVersion}/App/Messages/Views/MessagesComponent.html,115,96,86,140,177,256,30,610,0.000%,.39816,0.29,1.55
/CUDL/{SiteVersion}/App/Home/Views/DealerStatisticsComponent.html,115,90,85,141,173,207,28,209,0.000%,.39798,0.41,1.55
/API/DealQueue/v1/DealQueue?count=100,115,392,220,855,1177,1414,87,2223,0.000%,.39725,51.80,1.61
/CUDL/{SiteVersion}/App/Messages/Views/MessageBoardComponent.html,115,107,92,203,216,319,28,327,0.000%,.39751,0.53,1.56
/CUDL/{SiteVersion}/App/Messages/Views/MessageDetailComponent.html,115,109,87,195,248,381,25,580,0.000%,.39731,0.38,1.56
/DealerPortal/DealerPortalAPI/v1/DealerStatistics,115,123,124,206,250,296,28,750,0.000%,.39712,0.34,0.94
/API/MessageBoard/v1/messages,115,218,112,287,578,2616,39,3208,3.478%,.39686,0.23,1.54
/API/AppStagingProxy/DigitalDeal/GetDigitalDeals?count=100&startDate={currentUtcTime},111,751,342,1026,2371,9108,227,11666,0.000%,.38239,1.68,1.58
/CUDL/{SiteVersion}/App/DealQueue/Views/DealQueue.html,111,106,78,227,248,363,26,429,0.000%,.38261,0.40,1.55
/CUDL/{SiteVersion}/App/DealQueue/Views/DealQueueComponent.html,111,78,57,140,177,431,29,510,0.000%,.38208,1.52,1.55
/CUDL/{SiteVersion}/App/Common/Views/AppSummary.html,110,85,62,161,234,331,30,355,0.000%,.39604,2.33,1.60
/CUDL/{SiteVersion}/App/DealQueue/Views/DealQueueFiltersComponent.html,110,91,61,146,181,357,28,1259,0.000%,.39590,1.18,1.61
/CUDL/{SiteVersion}/App/Forms/Views/FormsComponent.html,110,91,53,138,174,1191,27,1200,0.000%,.39578,0.89,1.60
/CUDL/{SiteVersion}/App/AppDetails/Views/Lender.html,110,73,51,109,152,292,26,1190,0.000%,.39563,0.62,1.60
/CUDL/{SiteVersion}/App/AppDetails/Views/DecisionHistory.html,110,84,52,140,226,618,25,647,0.000%,.39548,0.37,1.60
/API/DealQueue/v1/DealQueue?count=2500,849,6185,5698,9438,11420,24675,1336,28986,0.000%,2.85606,9298.55,11.57
