Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/CUDL/{SiteVersion}/App/DigitalDealDetails/Views/DigitalDealDetailsComponent.html,104,92,83,148,169,358,27,394,0.000%,.41866,0.41,1.28
/API/AppStagingProxy/DigitalDeal/{digitalDealAppStagingId},207,481,333,775,1398,2207,180,4447,0.000%,.83257,4.87,2.51
/CUDL/{SiteVersion}/App/DigitalDealCommon/ApplicationHeaderComponent/View/ApplicationHeaderComponent.html,104,132,91,176,219,387,29,3180,0.000%,.41883,0.48,1.29
/CUDL/{SiteVersion}/App/DigitalDealCommon/ApplicantComponent/View/ApplicantComponent.html,104,108,89,156,205,382,28,1219,0.000%,.41908,1.13,1.28
/CUDL/{SiteVersion}/App/DigitalDealCommon/CollateralComponent/View/CollateralComponent.html,104,116,92,130,211,1192,31,1224,0.000%,.41928,0.54,1.28
/CUDL/{SiteVersion}/App/DigitalDealCommon/TradeInComponent/View/TradeInComponent.html,104,98,87,167,199,306,27,366,0.000%,.41929,0.49,1.28
/CUDL/{SiteVersion}/App/DigitalDealCommon/ApplicationSummaryComponent/View/ApplicationSummaryComponent.html,104,130,89,157,249,1237,27,1238,0.000%,.41926,0.70,1.29
/CUDL/{SiteVersion}/App/DigitalDealCommon/DealStructureComponent/View/DealStructureComponent.html,104,128,91,139,182,1242,29,1255,0.000%,.41919,0.64,1.28
/CUDL/{SiteVersion}/App/DigitalDealCommon/AddOnsComponent/View/AddOnsComponent.html,104,103,86,166,204,421,29,530,0.000%,.41930,0.42,1.28
/CUDL/{SiteVersion}/App/AppEntry/Views/AppEntry.html,104,104,95,161,198,293,32,483,0.000%,.41932,1.66,1.27
/CUDL/{SiteVersion}/App/AppEntry/Views/NavMenu.html,104,138,91,145,198,1305,33,3277,0.000%,.41935,0.62,1.26
/CUDL/{SiteVersion}/App/AppEntry/Views/Comment.html,104,111,93,184,274,351,26,379,0.000%,.41938,0.45,1.27
/CUDL/{SiteVersion}/App/AppEntry/Views/SetupForm.html,104,90,89,137,156,206,25,218,0.000%,.41943,0.56,1.27
/CUDL/{SiteVersion}/App/AppEntry/Views/DealStructure.html,104,92,92,132,167,185,29,220,0.000%,.41956,0.94,1.27
/CUDL/{SiteVersion}/App/Common/Views/appSetupDialog.html,103,131,93,179,192,407,31,3328,0.000%,.42090,1.90,1.27
/DealerPortal/Lending/v1/MemberEligibility?lenderCode={applicationLenderCode},103,1333,961,3202,3729,4155,806,4164,0.000%,.41968,0.36,0.53
/CUDL/{SiteVersion}/App/AppEntry/Views/ApplicantForm.html,103,180,142,219,246,464,29,3255,0.000%,.42087,1.63,1.27
/CUDL/{SiteVersion}/App/AppEntry/Views/ApplicantResidence.html,103,97,82,127,148,229,27,1226,0.000%,.42091,0.79,1.27
/CUDL/{SiteVersion}/App/AppEntry/Views/ApplicantPreviousResidenceForm.html,103,100,89,153,192,414,30,449,0.000%,.42090,0.57,1.28
/CUDL/{SiteVersion}/App/AppEntry/Views/ApplicantCurrentEmploymentForm.html,103,147,90,156,284,1232,28,1237,0.000%,.42091,0.86,1.28
/CUDL/{SiteVersion}/App/AppEntry/Views/ApplicantPreviousEmploymentForm.html,103,95,85,163,181,280,27,388,0.000%,.42283,0.50,1.29
/CUDL/{SiteVersion}/App/AppEntry/Views/TradeIn.html,103,89,84,133,178,235,27,320,0.000%,.42243,0.74,1.27
/CUDL/{SiteVersion}/App/AppEntry/Views/Collateral.html,103,134,84,167,210,1301,28,3259,0.000%,.42241,1.14,1.28
/DealerPortal/Lending/v1/SystemType,103,326,130,273,2818,3440,46,3463,0.000%,.42205,11.00,0.59
/DealerPortal/Lending/v1/rpc/Lender/GetLoanTypeConfiguration?lenderCode={applicationLenderCode}&loanType=Auto,103,171,112,305,352,1269,80,1387,0.000%,.42208,1.07,0.62
/CUDL/{SiteVersion}/App/AppEntry/Views/InventorySearch.html,103,119,95,210,250,408,29,521,0.000%,.42212,0.75,1.28
/CUDL/{SiteVersion}/App/AppEntry/Views/SavingAppModal.html,103,96,90,141,159,284,28,397,0.000%,.42222,0.64,1.28
/DealerPortal/Lending/v1/rpc/Applications/Submit,103,866,649,1082,1313,4856,494,4909,0.000%,.42145,2.82,2.70
/API/DealQueue/v1/DealQueue,102,174,108,331,465,1243,34,1269,0.000%,.41928,0.75,1.28
/API/AppStagingProxy/DigitalDeal/Finalize?appStagingId={digitalDealAppStagingId},102,879,731,1206,1505,3820,590,4050,0.000%,.41758,0.22,1.31
/DealerPortal/Lending/v1/rpc/SmartFund/GetSmartFundConfiguration,101,209,134,235,479,2592,34,3137,0.000%,.41940,0.29,0.67
/Account/CUDLLogOut,101,189,137,289,424,1009,27,3195,0.000%,.41916,0.42,1.03
TOTAL,10350,728,106,1505,5812,8843,23,18318,0.029%,33.95959,9962.68,88.13
