Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
https://qa-dealer.cudl.com,6000,221,179,347,435,715,108,3707,0.000%,2.50704,1.42,0.84
/Home/Login,6000,49,34,69,89,327,18,1304,0.000%,2.50784,0.92,1.12
/v2/,6000,41,33,62,73,128,18,1146,0.000%,2.50784,5.01,1.10
/v2/assets/config.json,6000,39,32,60,72,108,18,689,0.000%,2.50784,2.08,1.07
/V2/assets/dictionary/dictionary.json,6000,42,34,62,74,266,19,671,0.000%,2.50784,18.89,1.12
/v2/cudirect.97d2dadbd9d377a1a23e.woff2,6000,48,37,71,94,289,22,1204,0.000%,2.50784,58.03,1.25
/cuid/api/token/provider,6000,2391,742,6346,10525,19741,304,38408,0.033%,2.50747,2.07,1.49
/cuid/api/token,5998,17170,14469,38357,43572,52208,894,74412,20.373%,2.50641,3.57,1.56
/Home/LoginWidget,4776,9871,4094,11229,66925,100710,700,108216,0.209%,1.99407,5.18,3.08
/CUDL,4766,570,137,1446,1993,3075,25,565931,0.021%,1.99060,5.26,6.11
/CUDL/styles/lending,4765,280,108,717,1107,2360,32,5032,0.000%,1.99019,102.13,6.05
/css,4765,396,354,530,654,861,226,7319,0.000%,1.98993,3.23,0.67
/CUDL/scripts/Libraries,4765,625,360,1475,1992,3285,83,6600,0.000%,1.99015,557.33,6.03
/CUDL/scripts/CUDLApp,4765,514,276,1248,1760,2881,60,4827,0.000%,1.99021,370.57,6.02
/CUDL/CudlWebConfig/GetCudlWebConfig,4765,939,475,2369,3249,5034,168,8279,0.000%,1.99007,5.47,5.96
/CUDL/App/Content/LoggerConfig/InsightLoggerConfiguration.txt,4765,273,131,642,1041,1976,22,3972,0.000%,1.99087,0.94,7.19
/CUDL/App/Content/LoggerConfig/ConsoleLoggerConfiguration.txt,4765,173,91,419,600,1253,22,4914,0.000%,1.99086,0.94,7.19
/DealerPortal/Lending/v1/rpc/Applications/CleanApps,4765,298,224,526,664,1278,109,4701,0.000%,1.99076,0.57,4.23
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDealQueueFirebaseToken,4765,78,45,109,205,617,21,2555,0.000%,1.99095,0.94,4.10
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDigitalDealQueueFirebaseToken,4765,75,45,105,156,575,20,1716,0.000%,1.99096,0.94,4.12
/CUDL/{SiteVersion}/App/Common/Views/siteHeader.html,4765,803,111,501,701,1566,24,566291,0.105%,1.99096,3.23,7.15
/CUDL/{SiteVersion}/App/Home/Views/HomeComponent.html,4760,154,87,396,528,1140,21,2991,0.000%,1.98889,1.78,7.16
/DealerPortal/DealerPortalAPI/v1/User,9520,170,70,315,578,2212,31,6906,0.000%,3.97769,3.27,8.08
/CUDL/{SiteVersion}/App/Common/Views/SiteFooter.html,4760,291,99,438,548,1141,22,566206,0.021%,1.98889,1.30,7.15
/CUDL/{SiteVersion}/App/Common/Views/Overlay.html,4759,144,85,385,496,957,22,2358,0.000%,1.98843,1.04,7.15
/DealerPortal/Lending/v1/SellerFilters/,4759,315,114,441,626,1278,37,565997,0.021%,1.98844,106.79,4.01
/DealerPortal/Lending/v1/rpc/SmartFund/GetSmartFundLendersByDealer,4758,93,51,165,447,676,23,4844,0.000%,1.98806,0.67,4.09
/CUDL/{SiteVersion}/App/Common/Views/userInfo.html,4758,282,93,401,516,1093,22,566256,0.021%,1.98808,2.59,7.15
/CUDL/{SiteVersion}/App/Common/Views/dealersDropdown.html,4757,377,79,345,506,1087,21,566356,0.042%,1.98766,1.80,7.16
/CUDL/{SiteVersion}/App/DMS/Views/DmsSearch.html,4755,247,78,279,459,784,23,566636,0.021%,1.98684,3.24,7.14
/CUDL/{SiteVersion}/App/Messages/Views/MessagesComponent.html,4754,246,74,285,480,848,21,566340,0.021%,1.98643,1.31,7.16
/CUDL/{SiteVersion}/App/Home/Views/DealerStatisticsComponent.html,4753,243,74,257,465,839,23,566326,0.021%,1.98597,1.92,7.17
/API/DealQueue/v1/DealQueue?count=100&startDate={currentUtcTime},4752,154,87,406,518,1013,26,2805,0.000%,1.98557,0.50,7.48
/CUDL/{SiteVersion}/App/Messages/Views/MessageBoardComponent.html,4752,243,72,253,463,845,22,566331,0.021%,1.98568,2.54,7.22
/CUDL/{SiteVersion}/App/Messages/Views/MessageDetailComponent.html,4751,118,70,237,445,674,21,3179,0.000%,1.98527,1.78,7.22
/DealerPortal/DealerPortalAPI/v1/DealerStatistics,4751,150,86,266,507,1256,22,5128,0.000%,1.98526,1.03,4.06
/API/MessageBoard/v1/messages,4751,283,84,341,515,1173,27,566351,7.746%,1.98524,1.12,7.16
TOTAL,190805,1093,95,914,2755,26980,18,566636,0.847%,79.49486,1278.11,183.47
